index,ref_text,pred_text,cer,wer,audio
138,我打算下个month就去咗France嘅Paris，去欣赏下Eiffel Tower咯！,我打算去下咁啱時候去咗Frankie Paris，去欣賞下Eiffel Tower。,0.3182,1.5,./audio/465.wav
139,我D朋友話我TST嗰間Apple Store有新款iPad stock，但我未有時間去買。”,我啲朋友話：我TST嗰間Apple Store有新款iPad Stock，但我未有時間去買。,0.087,0.6667,./audio/1977.wav
140,我鍾意去France嘅vineyards，嘆杯好wine超抵玩！,我中意去France嘅Vignoles探杯好ワイン超底玩。,0.5,1.0,./audio/199.wav
141,晌贡茶冒烟，几多焗糊嘅糖，加少少鲜奶，再放入tapuca pearl，冷热之间嘅contrast让人have a crush!,行共茶無煙幾多局，嘅唐家少少先大家再放入tapu卡，perl冷熱之間嘅contrast令人吃不消。,0.5556,1.0,./audio/1206.wav
142,游水唔只係一種great嘅cardio workout，佢更可以improve我哋嘅strength同flexibility。,游水唔止係一種 grace 嘅 cardio workout，佢仲可以 improve 我哋嘅 strength 及 flexibility。,0.2222,5.0,./audio/1055.wav
143,"喺Greece嘅Santorini，睇過sunset嘅Aegean Sea, 實在係stunning嘅view！",喺B.S.嘅聖托里尼睇過新式嘅亞戰士，實在係新式嘅表。,0.8393,1.0,./audio/1131.wav
144,Wind好大，umbrella都hold唔住，竟然要fight against nature。,風好大，傘都hold唔住，建議要fight against nature。,0.2979,0.3333,./audio/1379.wav
145,同學唔只係學校，透過life experiences，我哋可以學到好多唔同嘅lessons。,同學唔止係學校，透過life experience，我哋可以學到好多唔同嘅lessons。,0.0435,1.0,./audio/998.wav
146,為咗保持competitive，我哋每一個月都會hold一個brainstorm session，激發新idea同創新solution。,而家保持competitive，我哋每一個月都會呼一個brainstorm session，激發新idea同埋創新solution。,0.1029,1.0,./audio/727.wav
147,跑marathon除左要擁有endurance，仲要有自我discipline去堅持完走一個長距離嘅挑戰。,跑摩羅純，除咗要擁有endurance，仲要有自我discipline去堅持完走一個長期嚟嘅挑戰。,0.2075,1.0,./audio/1771.wav
148,有时候，work pressure会好大，但记住唔好let stress overwhelm你。,有時候work pressure會好大，但記住唔好叻strict over view你。,0.3333,1.0,./audio/1909.wav
149,昨日嘅太陽好Bright，我冇咩防曬措施，結果Turn into a lobster咁！,昨日嘅太陽，too bright，我冇咩防曬措施，結果turn into a low stir㗎。,0.2727,1.0,./audio/1821.wav
150,喺Switzerland滑雪好刺激，嗰度嘅mountains好gorgeous，我等唔及要再去一次！,喺Spencer嚟話：，上好前一嗰度嘅Mana，好 gorgeous，我等住及住再去再一次。,0.5,2.0,./audio/567.wav
151,我對於呢個football season好excited，好期待我最鐘意嘅隊伍有出色嘅表現喎。,我對於呢個 football season 都 exciting，好期待我最中意嘅隊伍有出色嘅表現喎～,0.1915,2.5,./audio/43.wav
152,溜狗要留意，話說會有mudslide因為連日rains。,遛狗要留意，話說會有mouse slide，因為入links。,0.3929,2.0,./audio/274.wav
153,"Work smarter, not harder，懂得make use時間，唔好係busy過頭而忽略咗work-life balance。",Smart not harder make，懂得make use，而唔好係邊時過頭，而忽略咗個life balance。,0.3913,0.8333,./audio/1096.wav
154,party time食pizza真係好fun，尤其係嗰啲薄底嘅，taste非常authentic！,Party time食pizza真係好分，尤其係嗰啲薄底嘅， taste非常offentic。,0.2041,1.5,./audio/101.wav
155,做weightlifting可以幫我哋build muscle mass，但要記得做warm-up防止受傷。,做 wedge 機程可以幫我哋嘅 blood muscle 活躍，記得但記得做彎，我防止受傷。,0.537,1.6667,./audio/1231.wav
156,領域內嘅新資訊非常重要，keep up to date，唔好停止自我提升嘅步伐。,領域內嘅新資訊非常重要，keep up to date，唔好停止自我提升嘅步伐。,0.0,0.0,./audio/1721.wav
157,"河粉炒得just right,牛肉tender and juicy，带着wok hay的flavor,非常满足！",何粉炒得just right牛肉，tater and juices，帶着黑沃克的 flavour，非常滿足。,0.375,0.8,./audio/1832.wav
158,有冇諗過去Australia睇睇當地嘅wildlife，一定好exciting架！,有冇諗過去澳洲睇睇當地嘅 wildlife？一定好好西停㗎～,0.5122,2.0,./audio/107.wav
159,Stanley Market有好多特色嘅手工艺品，適合買做禮物送人！,Stanley Market有好多特色嘅手工藝品，適合買做禮物送人。,0.0588,0.5,./audio/1617.wav
160,巿區人口密度過高，政府應考虑implement sustainable urban planning。,民族歧視問題仍未被完全解決，我們需要更強力的 anti-discrimination campaigns。,0.902,1.0,./audio/497.wav
161,去Central時我成日會去PMQ買啲local design帶番屋企。”,去centra時，我成日都會去P.M.Q.買啲local design帶返屋企。,0.2432,1.0,./audio/1980.wav
162,香港的Housing issue真係需要多d attention，不可以再ignore啦。,香港的hou聲usual真係需要多啲人聽唱，不可以再囉啦～,0.6222,1.0,./audio/881.wav
163,去Australia嘅Sydney，喺Harbour Bridge 同 Opera House 拎到好多beautiful 照片，真的很enjoy.,去澳洲遊嘅三年，喺哈巴橋同奧帕拉豪斯拎到好多beautiful照片，真的很enjoy。,0.6081,1.0,./audio/756.wav
164,絕對唔可以miss out自己嘅熱誠，終一日你會realize呢樣嘢係學習嘅驅動力。,focus on your goal，唔好輕易積忽。,0.8571,2.0,./audio/619.wav
165,下雨天咁嘅weather，最想就系留喺屋企睇一部movie，吃串popcorn。,繁遠天咁嘅weather，最想就係留喺屋企睇一部movie，食串popcorn。,0.1,1.0,./audio/1106.wav
166,鲜虾云吞面，wonton皮嫩肉厚，配上thin noodles and rich broth，一send入口就知道系quality stuff！,鮮蝦雲吞麵，雲吞皮嫩肉厚，配上鮮牛肉和蘿蔔絲，一食入口就知道係critically stuff。,0.7083,1.0,./audio/1935.wav
167,自我學習係我哋嘅一種ability，喺未知與已知之間尋找balance。,戰略學習係我哋嘅一種 abilities，喺未知及已知之間尋找 balance。,0.2222,3.0,./audio/809.wav
168,喺Thailand嗰Bangkok，走過繁華嘅night market，嚟個cultural immersion，真係eye-opening！,喺他連個Bangkok走過繁華嘅night market呢個culture immersion，真係i open咗。,0.3099,1.3333,./audio/1037.wav
169,我最近開始學習瑜伽，呢個practice令我感到好relaxed，同時亦係身心嘅exercise。,我最近開始學習瑜伽，呢個practice令我感到好relaxed，同時亦係身心嘅exercise。,0.0,0.0,./audio/72.wav
170,雖然冬天嘅温度可以drop到好底，但我都prefer过炎热嘅summer，吹吓aircon就OK喇。,雖然天冬天嘅温度可以捉到好低，但我都prefer過炎日嘅summer，吹下aircon就ok啦。,0.24,1.0,./audio/1283.wav
171,要proactive，唔好等被人催，take initiatives先會提升自己嘅career development。,要 proactive，冇等別人去 take initiative，先會提升自己嘅 career development。,0.1333,1.6667,./audio/1271.wav
172,香港經常發生landslides，要開發更有效嘅prevention measures。,當證經常發生冷slide，要有防緊有害嘅 prevention measures。,0.2727,1.0,./audio/1334.wav
173,Attention to detail可以提高你嘅工作质量，防止make costly errors.,Attention to detail可以提高你嘅工作質量，防止make call costly errors。,0.1373,0.6,./audio/1458.wav
174,我超鍾意打電動，尤其係‘Overwatch’，每次都會跟隨著game的rhythm，極度投入！,我超中意打電動，尤其Overwatch，每次都會跟隨Game的Ride，極度投入。,0.2766,1.0,./audio/481.wav
175,香港嘅Tourism industry受疫情打擊嚴重，需要更多Support policies。,香港嘅tourism industry受疫情大擊嚴重，需要更多support policies。,0.0625,0.6667,./audio/1068.wav
176,香港養老費用愈來愈高，我哋应该实行更好的pension fund management。,我買嘅每一件clothing我都好appreciate，每件都有嘅story，買嘅時候都好excite我。,1.0909,1.0,./audio/506.wav
177,香港嘅Education system需要更多innovation and creativity嚟提升學生嘅critical thinking skills。,香港嘅教育體系需要強調 innovation 及 creativity，嚟提升學生嘅 critical thinking skills。,0.3038,0.8333,./audio/1237.wav
178,"打table tennis可以係训练你嘅co-ordination, 仲可以提升你嘅reaction time.",打 table tennis 可以係訓練你嘅控ordination，仲可以提升你嘅 reaction time。,0.1964,1.5,./audio/1861.wav
179,遇到挫折唔好慌，唔好怕問問題，唔知就係學習嘅開始。,遇到挫折，唔好慌，唔好怕問問題，唔知就係學習嘅開始。,0.04,1.0,./audio/1989.wav
180,试下这碗豆花，silky and sweet，配上handmade sugar syrup，甜甜地，good for your mood!”,試下這碗豆花，skillet and the sweet，配上很美的 sugar syrup，甜甜的，good for your mood。,0.3,0.625,./audio/1476.wav
181,"带住你嘅bicycle出去cycling,都可以keep fit，而家仲係綠色出行嘅第一選擇。",帶住你嘅 bicycle 出去 cycling 都可以 keep fit。而家仲係綠色出行嘅第一選擇。,0.1489,3.5,./audio/1866.wav
182,Resilience其实係好需要嘅，唔怕失败，同埋懂得從 mistakes中学习嘅能力，都是真正的progress.,resilience其實係好重要嘅，唔怕失敗，同埋懂得從 mistake 中學習嘅能力，都是真正的 progress。,0.1552,2.0,./audio/1455.wav
183,冬季我會去skiing，滑雪可以提升我嘅coordination同埋balance能力。,冬季我好去滑雪，話說可以提升我嘅coordination同埋balance能力。,0.2045,1.0,./audio/311.wav
184,Football即係一種teamwork嘅symbol，佢教我哋點樣cooperate同埋同時間培養出我哋嘅leadership skills。,Football係一種teamwork嘅ensemble，佢教我點樣cooperate同埋，同時間培養出我哋嘅leadership skills。,0.1111,0.5,./audio/962.wav
185,空氣污染對我哋健康嘅影響好大，政府需要implement強制性嘅emission standards。,空氣污染對我哋健康嘅影響好大。政府雖然引發唔強制性嘅 emission standards。,0.2549,1.0,./audio/405.wav
186,香港人口ageing問題日益嚴重，社會福利提升嘅壓力大增，需要effective solution去應對。,人口 ageing 問題日益嚴重，社會福利提升嘅壓力大，真需要 effective solution 去應。,0.1698,3.0,./audio/1330.wav
187,Next week要high temperature，Prepare吖sunscreen。,next week有高溫，出現一些skin。,0.7333,1.0,./audio/1649.wav
188,周末我會同朋友去hiking，嗰種與nature間的bonding真係好relaxing。,週末會，我會同朋友去泰劇。呢種同nature攪啲波尼，真係好relaxing。,0.4667,1.0,./audio/309.wav
189,我哋嘅教育system仲有好多問題需要解決，政府是否考慮過進行一次comprehensive嘅review?,我哋嘅教育 system 仲有好多問題需要解決，政府是否考慮過進行一次 comprehensive 嘅 respec？,0.1667,6.0,./audio/226.wav
190,我喺香港迪士尼玩得好開心，坐過山車嘅感覺真係太thrilling！,我喺香港迪士尼玩得好開心，坐過山車嘅感覺真係太train人哋～,0.2121,1.0,./audio/1857.wav
191,我最in love嘅一雙运动鞋就係我喺sneaker store買嘅，worth every penny 而且唔使費事去搶。,我最厭love嘅一雙運動鞋，就係我嘅Nike Store買嘅，worth every penny，而且又唔費事去搶。,0.2581,0.8333,./audio/710.wav
192,Japan嘅Kyoto擁有大量嘅传统temples，係一個完美嘅spot to take photos。,作編嘅Kitty擁有大量嘅傳統typist，真係完美嘅stock to take photo。,0.4231,0.5,./audio/1943.wav
193,来个杏仁豆腐dessert，口感smooth，almond的香味，是perfect end to 阵食嘅！,呢個杏仁豆腐 dessert口感smooth，almost sticky香味，是perfect end to 頻食嘅。,0.283,1.0,./audio/1383.wav
194,Education equality係社會發展嘅長遠目標，政府要保證所有學生都有機會喺良好嘅educational environment下學習，就算喺rural area都唔例外。,Education equality係社會發展嘅長遠目標。政府要保證所有學生都有機會喺良好嘅 education environment 下學習，就算係 rural area 都唔例外。,0.0879,1.75,./audio/1785.wav
195,我成日去department stores，可以一次過買齊所有需要嘅goods，真係convenient。,我成日去department store，可以一次過買齊所有需要嘅goods，真係convenience。,0.0566,0.5,./audio/148.wav
196,嘞个月嘅climate真系好unusual，flow好hot又有点cold。,呢個要嘅crime，其實係好 unusual。throw hot 又有點 cold。,0.4737,5.0,./audio/1554.wav
197,"每個weekend我哋都會去公園play football,可以improve身體嘅coordination，又可以增强teamwork嘅精神。",每個weekend，我哋都會去公園play football，可以 improve 心體嘅core definition，又可以增強天賦嘅精神。,0.2778,2.5,./audio/1956.wav
198,D唔好玩嘅wind，今日吹得我呀都几shaky。,啲唔好玩嘅風，今日吹得我啊，都幾shicky～,0.4583,1.0,./audio/925.wav
199,"喺Australia嘅Sydney, 度有一個well-known嘅Sydney Opera House, well worth visiting!",喺澳洲嘅悉尼，都有個 well known 嘅悉尼歌劇院，好值得去 visit。,0.7432,1.0,./audio/942.wav
200,前晚我試咗嚟自Thailand嘅tom yum soup，味道真係足夠spicy同refreshing，正宗嘅泰國菜味道！,前晚我試咗嚟自泰寧嘅Top音 soup，味道真係足夠spicy及refreshing，正宗嘅泰國菜味道。,0.2623,1.0,./audio/836.wav
201,我琴日去左個gallery，有好多modern art展品，雖然有啲我都唔知佢想表達咩，但係我都鐘意去思考同欣賞佢哋！,我琴日去咗一個gallery，有好多modern art展品。雖然有啲我都唔知佢想表達咩，但係我都中意去思考同欣賞佢哋。,0.0847,1.0,./audio/575.wav
202,昨晚上我落廚，整咗煎鴨胸，搭配fresh嘅蔬菜同薯蓉，持平講，冇得嘢比自家煮嘅飯更好味！,昨晚我想我落廚整左煎鴨，烘焙揼fresh嘅蔬菜和薯蓉。持平講，冇得嘢比自家煮嘅飯更好食。,0.2727,1.0,./audio/557.wav
203,進行terminal射擊運動幫助我哋improve concentration，亦都需要穩定嘅hand control。,進行timing流刺激動作，幫助我哋 improve concentration，亦都需要穩定嘅輕control。,0.25,1.0,./audio/1235.wav
204,Teamwork係件好事，大家都需要cooperate，咁先能達到the best results。,聽話真係好大件事，大家需要accommodate咁先達到the best results。,0.38,0.3333,./audio/1360.wav
205,我喺Apple store買咗新款iPhone，感覺好好，用得都好開心咁！,我喺Apple Store買咗新款iPhone，感覺我用得都好開心。,0.1622,0.5,./audio/1347.wav
206,Sogo嘅cosmetic section真係好吸引，各種品牌都有，仲可以試用下先決定買邊款。,Sogo嘅Customer Section真係好吸引，各種品牌都有，仲可以試下先決定買邊款。,0.1915,1.0,./audio/1161.wav
207,無論考試嘅result如何，最重要嘅係你吸收咗幾多knowledge。,無論考試嘅recall如何，最重要嘅係你吸收咗幾多knowledge。,0.0857,1.0,./audio/1442.wav
208,我揾到一个好的deal去Japan ski，冬天来个snow adventure真係好刺激呀！,我揾到一個好的釣處，日本ski，冬天來個snow adventure真係好刺激呀～,0.3191,1.0,./audio/286.wav
209,Affordable housing係香港嘅長遠目標，但我哋都要正視其中存在嘅financial challenges，理性討論可行嘅solution。,Affordable house係香港嘅長遠目標，但我哋都要正視其中存在嘅find the case challenge，理性討論可行嘅細路上。,0.2763,1.3333,./audio/1604.wav
210,玩網球唔只係trained up我哋嘅hand-eye coordination，佢更係一個great嘅方式去release我哋嘅energy。,玩網球唔止係train up by我哋嘅 hand icon啊定係咩嘅，更係一個 great 嘅方式去 release 我哋嘅 energy。,0.375,3.3333,./audio/1057.wav
211,本地嘅空氣污染問題非常嚴重，呼籲喺市區設置更多air quality monitoring stations。,本地嘅空氣污染問題非常嚴重，可以喺市區設置更多 air quality monitoring stations。,0.0545,0.5,./audio/598.wav
212,"晚餐去咗一間西餐廳，嗰度嘅steak煎得just right，好juicy，完全match我嘅口味！""",晚黑去住一間西餐廳，嗰度嘅stick zin de just way好中意食，完全唔係我嘅口味。,0.5882,2.5,./audio/932.wav
213,早上畀雷电惊醒，睇吓窗外雨落落，大gao都wet晒。,今朝俾雷電驚醒，睇下窗外雨落落，大家都暈曬。,0.5,1.0,./audio/1461.wav
214,Demonstrate你嘅leadership skills 可以帮助你get promoted.,Demo star chart，你嘅leadership skill可以幫助你get promote,0.2449,1.25,./audio/1637.wav
215,我喺假日嘅時候，都會享受下去beach party，感受下sunshine同海風嘅調調.,我喺假日嘅時候，都會向上下 beach party，享受下新西同海風嘅調調。,0.2955,1.5,./audio/1587.wav
216,喺Korea嘅Seoul，踏過秋天嘅Maple leaves，係一份romantic嘅experience！,喺 Korea 嘅 seal 接過秋天嘅 maple leaves，即係一種 romantic experience。,0.2778,4.5,./audio/1040.wav
217,打乒乓球可以促進我哋嘅hand-eye coordination，仲可以enhance我哋嘅strategic thinking。,打乒乓球可以促進我哋嘅 hand-eye coordination，仲可以 enhance 我哋嘅 strategic thinking。,0.0615,2.0,./audio/1230.wav
218,我哋學嘅嘢唔一定要用黎應考，學習就係去explore世界，開拓我哋嘅眼界,我哋學嘅嘢唔一定要用嚟人口學習，就去 explore 環境，開大我哋嘅眼界。,0.3333,3.0,./audio/806.wav
219,學習嘅journey唔係straight forward，會有ups同降，但其中嘅hardship會make我哋stronger。,我答句：Jenny唔係Strict Boy，會有Up神Down，但其中嘅Khusha會mark我哋strong㗎。,0.5231,1.0,./audio/904.wav
220,我會喺電腦度download啲interesting app，玩下圖像編輯或者做下GIF，感覺自己好creative.,我會喺電腦度download啲interesting apps，玩下圖像編輯，或者做下GIF，感覺自己好creative。,0.0508,0.5,./audio/1679.wav
221,大热天嗮舖冰凉cold brew coffee，refreshing到令人feel like flying！,帶你天曬泡冰涼，Cold Brew Coffee Refresh，到你日feel like flying,0.3148,1.0,./audio/1204.wav
222,我雖然唔識畫畫，但係去過‘Art Basel’嘅artist展覽後都係感到好inspired，especially嗰d abstract art piece！,我雖然唔識話話，但係去過阿斯巴遜嘅artists兩點問之後，都係咁就好inspire，especially嗰啲abstract art piece。,0.3165,0.8,./audio/767.wav
223,"假期期間嘅sale真係not to be missed,通常都會買到好多平價嘅優質goods。",MC魔果嗰個App真係幫到手，無論想買咩都可以search到，仲有各種料去等你去揀。,0.8723,1.0,./audio/609.wav
224,做自己嘅learning plan，了解自己嘅學習style係好重要嘅一步。,做自己嘅learning plan，了解自己嘅學習style，係好重要嘅一步。,0.0263,0.5,./audio/1992.wav
225,你可能试过很多ravioli，但这个虾饺ravioli，外面smooth and delicate，内里full of juicy shrimp，真的让人有再吃一笼的urge!,你可能是個很多reverie，但這個蝦餃reverie內面smooth and delicious，內裡full of the juice or sharp pit，真的讓人有再吃一龍的阿記。,0.4886,1.1667,./audio/1564.wav
226,香港downtown空氣污染程度己取得some progress但我哋仍需努力改善air quality，要爭取sustainable future。,香港dump town空氣污染程度已經取得深progress，但我哋仍需努力改善air quality，要爭取sustainable future。,0.16,0.5,./audio/1422.wav
227,你要work independently但同時都要value team collaboration，呢樣先係平衡。,你要work independence，但同時都要value team collaboration，呢樣先係平衡。,0.0526,0.25,./audio/1010.wav
228,學游泳唔止可以enhance muscular strength，亦都可以學到rescue skills，真係一項好有價值嘅sport。,開游泳唔知可以enhance muscular strength，亦都可以學到rescue skills。真係一項好有價值嘅sport。,0.0441,0.5,./audio/493.wav
229,慢跑係一種很好嘅 low-impact exercise，適合所有年齡層嘅人。,慢慢係一種非常好嘅low impact exercise，適合所有年齡層嘅人。,0.1282,0.6667,./audio/1320.wav
230,我剛剛嘗試了個新開嘅Vietnamese restaurant，嗰個Pho味道rich同濃郁，真係很impressive！,我剛剛嘗試了個新開的 Vietnamese restaurants，嗰個鋪味道rich同濃郁，真係很 impressive。,0.1311,2.0,./audio/277.wav
231,"你去過Thailand嘅Bangkok未， hawker food嘅獨特味道一定會讓你心滿意足。""",你去過泰寧嘅 Bangkok 咪，Hackerfoot嘅獨特味道一定會讓你心滿意足。,0.3469,1.0,./audio/1846.wav
232,Dinner後可以去海边，預計會有一個perfect sunset呢。,天藍號可以去海邊，會唔會有一個perfect sunset呢？,0.3143,1.0,./audio/358.wav
233,上班路上嘅wind真的吹得太顶，连行都成问題。,上班路上嘅風真係吹得太勁，連行都成問題。,0.3478,1.0,./audio/1110.wav
234,我最like嘅一個活動就係每年black Friday sales，可以用最抵價錢買到最高質素嘅goods，真係超爽！,我最like嘅一個活動就係每年Black Friday sales，可以用最低價錢買到最高質素嘅，真係超爽。,0.1356,0.6667,./audio/236.wav
235,初春一下sunshine一下喺冷冻，天气变幻莫测。,猜出一下，新出一下係凍，天氣變化莫測。,0.68,1.0,./audio/551.wav
236,做gymnastics可以增强你嘅flexibility同balance，更可以improve你嘅body control能力呢。,做專一性可以增強你嘅 flexibility 同 balance，更可以 improve 你嘅 body control 能力呢？,0.2923,4.5,./audio/1867.wav
237,Teamwork係成功嘅key，大家要齐心协力。,天沃係成功嘅keep，大家要齊心協力。,0.5,1.0,./audio/1812.wav
238,我最喜歡就係去book store買咗本新出版嘅novel，每次睇書都可以放鬆自己，好enjoy呢種feel。,我最喜歡就係去Bookstore買咗一本新出版嘅novel，每次睇書都可以放鬆自己，好enjoy呢種feel。,0.0545,1.0,./audio/208.wav
239,想饮杯街边freshly squeezed果汁，手工作，natural goodness，keep you energised整天！,上飲杯街邊freshly scraped果汁，手工作nature goodness，keep your energy up，整天。,0.2727,1.0,./audio/1386.wav
240,星期六forecast话有high chance of thunderstorm，可能要留喺屋企啦。,星期六，focus話有high唱品of fantastio，可能要留喺屋企啦。,0.46,1.0,./audio/1560.wav
241,我喺holiday鐘意去outlet購物，可以買到打折嘅branded goods，價格吓人，甚至可以買到half price，又可以save money。,我喺holiday中意去Outlet購物，可以買到打折嘅branded goods，價錢黑人，甚至可以買到half price，又可以save money。,0.0513,0.5,./audio/58.wav
242,碌嘅時候，唔好forget去appreciate你工作嘅value。,碌嘅時候，唔好forget to appreciate你工作嘅輝了。,0.2647,3.0,./audio/631.wav
243,我會選擇go jogging，因為呢個運動可以improve我嘅lung function同令我嘅心臟變得更healthy。,我會選擇Go jogging，因為呢個運動可以 improve 我嘅 lung function，同令我嘅心臟變得更 healthy。,0.0968,2.3333,./audio/1961.wav
244,我好鍾意唱karaoke，可以唱出我嘅emotion，好享受嘅一個娛樂活動。,我好中意唱卡拉OK，可以唱出我嘅emotion，好享受嘅一個娛樂活動。,0.2105,1.0,./audio/1859.wav
245,Stay organized唔只令你嘅workspace整齐，同时令你work efficiently。,Stay organised，唔止令你嘅Workspace整齊，同時令你Workspace貼地。,0.3269,0.6667,./audio/1816.wav
246,如果你计划出去hiking，记得check下weather forecast，话畀你听可能会有thunderstorms。,如果你計劃出去 hiking，記得出下 weather forecast，話俾你聽，可能會有分級數。,0.459,2.0,./audio/363.wav
247,本地周末遊樂設施不足，有需要建設更多community recreational facilities。,香港養老費用越來越高，我哋應該實行更好的 pension management。,0.8269,1.0,./audio/505.wav
248,Harbour City嘅Designer Handbag真係要抵制唔住嘅誘惑，即使價錢好貴都值得！,哈伯斯蒂嘅design咧，ham包真係要抵，制唔住有，或即係好價錢好貴都值得。,0.6,1.0,./audio/1165.wav
249,有時我哋睇电视嘅時候，就会eat popcorn，crunchy texture令人stop不了手！,有時我哋睇電視嘅時候，就會ipod con crunchy texture，令人stop不了手。,0.26,1.3333,./audio/1121.wav
250,學習唔係越多越好，重要係你digest到你所學嘅知識。,學習唔係越多越好，仲要係你帶著到你所學嘅知識。,0.2593,1.0,./audio/1629.wav
251,喺Greece嘅Athens，遊覽過嘅Acropolis，係一種incredible嘅ancient wonder！,Adris嘅 efforts，和南部嘅Ad Crowpolis係一種 incredible嘅 Asian wonder。,0.4655,3.0,./audio/1216.wav
252,香港嘅Education system越嚟越壓力大，我哋需要讓學生enjoy their childhood。,香港嘅Education甚而係軟解力，但係我哋需要讓學生enjoy到嘅超權。,0.5455,1.0,./audio/1151.wav
253,"喺Iceland嘅Reykjavik, 睇日出嘅Midnight Sun，真係breathtaking嘅scene!",喺阿倫嘅《Reg Graphic》睇得出嘅，咩係新真係graph taking嘅先。,0.7069,1.0,./audio/1124.wav
254,跳舞唔只能show your creativity，亦都係一種fun way做運動，能提升你嘅flexibility和coordination。,跳舞唔只能show your creative rhythm，亦都係一種分位做運動，能提升你嘅flexibility and coordination。,0.2639,1.0,./audio/1594.wav
255,我好鍾意去karaoke同朋友唱歌，每次去都唔覺得boring，我同我朋友們都有好多fun。,我好中意去卡拉OK同朋友唱K，每次去都唔覺得 boring。我同我朋友們都有好多分。,0.3043,2.0,./audio/118.wav
256,我同朋友去咗Tiffany嗰間鑽石專賣店，睇到好靚嘅necklace，好想買黎送比女朋友呀！,我同朋友去約Tiffany攞翻件，係專賣店睇到好靚嘅necklace，好想買嚟送俾女朋友啊～,0.2391,1.0,./audio/1249.wav
257,唔怕改變，keep an open mind，接受新知識和新嘅learning methods。,唔怕改變，keep em open mind，接受新知聲和新嘅learning method。,0.0833,0.6,./audio/1993.wav
258,Remember，學習唔只係about score，理解同meow material嘅process都好重要。,Remember學習唔止係about score，仲係你理解同know material嘅process都好重要。,0.1273,0.6667,./audio/522.wav
259,我喺online平台上面買嘅時候，我會check佢哋嘅reviews先，我覺得這是一個smart move。,我喺安拉平臺上買嘅時候，我會出佢哋嘅回饋先。我覺得這是一個smart move。,0.3889,0.5,./audio/513.wav
260,"喺一個新嘅job position，我哋需要有一個open mind，ready咗去學習新嘅skills同face新嘅挑戰。""",係一個新嘅job position，我哋需要有一個open mind，ready咗去學習新嘅skills同face新嘅challenge。,0.1746,0.6667,./audio/81.wav
261,如果你能adapt到新嘅工作環境，你就會更quickly進步。,如果你能adapt到新嘅工作環境，你就會更不斷進步。,0.2258,1.0,./audio/915.wav
262,今晚果个moon真係好bright，稍微点都唔feel寂寞。,今晚嗰個moon真係好bright，稍微點都唔feel寂寞。,0.1,1.0,./audio/1018.wav
263,下个星期我要去深圳Bay Park玩，欣赏下嘅modern city view。,下個星期我要去深圳碧拍玩，印象係叫Modern City View。,0.4,1.0,./audio/380.wav
264,午餐時間，我鍾意一個人食嘅就系這個avocado salad，加咗好多fresh veggies，完全health conscious食物嚟喎！,午餐時間，我中意一個人食嘅就係呢個阿福卡多沙律，加咗好多fresh veggies，完全healthy conscious成分嚟喎。,0.2778,1.0,./audio/1029.wav
265,做Karate可以讓你improve self-discipline同boost你嘅self-confidence。,做區域貼可以讓你 improve self-discipline，同 boost 你嘅 self-confidence。,0.1897,3.0,./audio/1688.wav
266,我好贊同flexible working hours，咁樣可以更好嘅balance我嘅工作同生活。,我好贊同flexible working hours，咁樣可以更好嘅balance我嘅工作同生活。,0.0,0.0,./audio/84.wav
267,我鍾意去concert，feel到啲singer嘅energy，真係好震撼.,我中意去concert，feel到啲 singer 嘅 energy，真係好震撼。,0.1316,4.0,./audio/1677.wav
268,我睇到個discount code，可以馬上去網上買啲我之前想買但覺得太貴嘅品牌服裝，真係太lucky啦！,我睇到個discount曲，可以馬上喺網上買啲我之前看到睇覺得太貴嘅品牌服裝，真係太甩熱辣～,0.3019,1.0,./audio/329.wav
269,"你有冇見過咁震撼嘅sunset? 天氣真係好perfect，可以坐下嚟慢慢欣賞。""",你有冇見過咁震撼嘅新 set？天氣真係好perfect，可以坐下嚟慢慢欣賞。,0.1463,1.0,./audio/6.wav
270,我平時唔係咁鍾意飲coffee，但係如果係星巴克嘅Caramel Macchiato，我就一定會買枝！,我平時唔係中意飲coffee，但係如果係星巴克嘅caramel macchiato，我就一定會買支。,0.1176,1.0,./audio/745.wav
271,雨勢好big，feel像typhoon来咗，记得关窗啦。,師兄曬咁多Crowd，好啲會ring咁，大家記得打啲Ambra啦～,1.1071,1.0,./audio/1553.wav
272,"我會focus喺完成我嘅project, 工作仔我要balance嗰啲細節。",我會focus喺完成我嘅project，工作仔，我越balance嗰啲細節。,0.1053,1.0,./audio/914.wav
273,Boxing唔只是單純嘅打擊，其實佢涉及到嘅strategy同技巧都非常深奧。,方程式係單純嘅大益，其實佢涉及到嘅strategy同技巧都非常深奧。,0.2821,1.0,./audio/873.wav
274,今天可能有會thunderstorm，出门最好配备得完整一啲。,今天可能會有分類 storm，出門最好配備得完整一啲。,0.3226,2.0,./audio/451.wav
275,去踩單車唔單止可以scenery俾眼光，而且亦都可以increase stamina.,我聽啦，即係唔單止可以 scenery，比眼光亦都可以 increase stamina。,0.3256,2.0,./audio/490.wav
276,"喺Australia嘅Great Barrier Reef潛水, 就好似喺amazing嘅underwater world咁！",喺澳大利亞嘅Great Barrier Reef潛水，就好似喺Amazing嘅Underwater World咁。,0.2381,0.8,./audio/1480.wav
